,aegis,aegis_balanced,all,fixed,random,single
normal,0.0,0.0,0.0,0.0,0.0,0.0
backdoor,0.23529411764705882,0.2833333333333333,0.5194805194805194,0.5194805194805194,0.4225352112676056,0.0
ddos,0.0,0.0,0.5581395348837209,0.5714285714285714,0.5581395348837209,0.0
injection,0.19883040935672514,0.36923076923076925,0.8301886792452831,0.8301886792452831,0.6031746031746031,0.25396825396825395
password,0.0,0.6415094339622641,0.7868852459016393,0.7868852459016393,0.7368421052631579,0.0
ransomware,0.0,0.0,0.8571428571428571,0.8421052631578947,0.8333333333333334,0.0
scanning,0.8095238095238095,0.9166666666666666,0.45714285714285713,0.45714285714285713,0.6666666666666666,0.30434782608695654
xss,0.0,0.35294117647058826,1.0,1.0,0.782608695652174,0.0
