condition,n,macro_f1,f1_ci_low,f1_ci_high,binary_f1,mean_tokens,mean_compute_cost,mean_latency_s,mean_tool_calls
all,189,0.6261224617246096,0.5716950145392222,0.6759829314449916,0.7712418300653595,773.936507936508,4.877777777777778,4.569391534391534,8.164021164021165
fixed,189,0.6259038920445956,0.5716641602332776,0.676142058104779,0.7806451612903226,774.5978835978837,4.877777777777778,4.619338624338624,8.164021164021165
random,189,0.5754125187801578,0.5077040824480923,0.6285791016614937,0.7148014440433214,606.6719576719577,3.2322751322751326,4.296285714285714,5.391534391534392
aegis_balanced,189,0.32046017245795266,0.26360912282405286,0.36766842963306134,0.9041916167664671,2301.5396825396824,2.2973544973544975,21.725079365079363,4.920634920634921
aegis,189,0.15545604206594918,0.12632876543017302,0.1827251626317523,0.8868501529051988,1117.2328042328043,0.38042328042328033,10.731021164021163,1.8994708994708995
single,189,0.06978951000690131,0.047860305958132045,0.0896533116087344,0.92,1430.4126984126983,0.28201058201058193,9.821566137566139,2.82010582010582
