epsilon,macro_f1,cost,tiers
0.005,0.9533847398169023,1535.8329792499997,full+lite+mid
0.01,0.9533847398169023,1535.8329792499997,full+lite+mid
0.02,0.954194120983043,1120.1126365999999,lite+mid+mid
0.05,0.9410591811176248,767.9501966,lite+lite+mid
0.1,0.9410591811176248,767.9501966,lite+lite+mid
0.2,0.9360177453152627,482.1462248,lite+lite+lite
