condition,n,macro_f1,f1_ci_low,f1_ci_high,binary_f1,mean_tokens,mean_compute_cost,mean_latency_s,mean_tool_calls
all,189,0.6658969794006271,0.6107428267747578,0.7127491940099443,0.9291784702549575,874.1904761904761,4.877777777777778,3.4339999999999997,8.164021164021165
fixed,189,0.6546703567839711,0.5979932055621199,0.7033650041504542,0.9291784702549575,874.3862433862433,4.877777777777778,3.487936507936508,8.164021164021165
random,189,0.6158416683486204,0.5475228210704617,0.6743839544378253,0.9127906976744186,690.5396825396825,3.2322751322751326,3.1318677248677247,5.391534391534392
aegis_balanced,189,0.12309885507091058,0.08852460655108438,0.1532125403655995,0.9291784702549575,2744.5555555555557,2.229100529100529,12.880603174603173,5.4603174603174605
aegis,189,0.07860933629650207,0.0547397592648441,0.10582223338211426,0.92,2493.8888888888887,0.5047619047619047,22.545026455026456,3.291005291005291
single,189,0.07192691029900332,0.04069406273673417,0.09938662503842988,0.9329446064139941,1632.6507936507937,1.3174603174603174,6.059666666666667,2.4603174603174605
