,aegis,aegis_balanced,all,fixed,random,single
normal,0.0,0.0,0.0,0.0,0.11764705882352941,0.34285714285714286
backdoor,0.07142857142857142,0.12903225806451613,0.6172839506172839,0.6172839506172839,0.5245901639344263,0.0
ddos,0.0,0.0,0.7441860465116279,0.7441860465116279,0.6511627906976745,0.0
injection,0.1652892561983471,0.0,0.8260869565217391,0.8,0.6666666666666666,0.0
password,0.0,0.0,0.7419354838709677,0.71875,0.7,0.0
ransomware,0.0,0.5581395348837209,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.0
scanning,0.39215686274509803,0.2976190476190476,0.5405405405405406,0.5,0.6,0.23255813953488372
xss,0.0,0.0,1.0,1.0,0.8333333333333334,0.0
