,exhaustive,domain_all,fixed,random,core_only,constrained,no_core
ddos,1.0,1.0,1.0,0.9113218070273285,1.0,1.0,0.2535736482287135
dos,1.0,1.0,1.0,0.9503588516746412,1.0,1.0,0.0
normal,0.9984517460863581,0.9984517460863581,0.9998280309544282,0.9520514087988137,0.999484270242393,0.999484270242393,0.7152483154479661
reconnaissance,0.9974525898669686,0.9974525898669686,0.9997167941093175,0.9491525423728814,0.9991499008217626,0.9991499008217626,0.0
